DATE,BBKMGDP
1960-01-01,15.603215757628732
1960-02-01,6.200903364943525
1960-03-01,-4.047302989988433
1960-04-01,-4.165981697955395
1960-05-01,-3.3101092506110787
1960-06-01,1.629745362984698
1960-07-01,5.544071852711139
1960-08-01,2.5240880940682957
1960-09-01,-4.115242706129166
1960-10-01,-7.632731628217417
1960-11-01,-7.7148934110934935
1960-12-01,-2.4164512838001726
1961-01-01,5.958325758701477
1961-02-01,6.1131641552222
1961-03-01,6.6314811978818184
1961-04-01,6.335819808556444
1961-05-01,6.990740667265467
1961-06-01,8.265867420809625
1961-07-01,7.702970243484177
1961-08-01,8.40173170515989
1961-09-01,4.949922466864461
1961-10-01,8.401481910168826
1961-11-01,9.10040685678166
1961-12-01,8.229044837144395
1962-01-01,5.3768349096406
1962-02-01,8.818330052213387
1962-03-01,4.346928273652008
1962-04-01,2.1060033424530316
1962-05-01,2.3401036553128094
1962-06-01,3.8254491767950856
1962-07-01,7.2930624839285105
1962-08-01,4.7659957721718795
1962-09-01,2.6409484546134947
1962-10-01,-1.2508923837572712
1962-11-01,1.3254388928710579
1962-12-01,2.8086090972627593
1963-01-01,5.379746371104336
1963-02-01,6.749880332526645
1963-03-01,2.5242227219102107
1963-04-01,2.7444779438905527
1963-05-01,5.235705134153627
1963-06-01,9.654564988964733
1963-07-01,11.598010541842271
1963-08-01,8.007739414507517
1963-09-01,2.969743505785233
1963-10-01,0.08335996077611973
1963-11-01,0.9363019644196153
1963-12-01,7.470843502032556
1964-01-01,11.697212105934925
1964-02-01,10.132176762663248
1964-03-01,3.807083268164126
1964-04-01,2.752437557841855
1964-05-01,3.442419613703874
1964-06-01,6.133255702578012
1964-07-01,9.965743725190517
1964-08-01,5.070781791459568
1964-09-01,0.09293534947761328
1964-10-01,-5.015887302575559
1964-11-01,5.300588073209818
1964-12-01,10.272914599606665
1965-01-01,11.228883364228414
1965-02-01,9.685886071726422
1965-03-01,7.135751722852316
1965-04-01,1.9693902593817254
1965-05-01,3.9828834114011045
1965-06-01,7.4046858645361
1965-07-01,11.468115629784995
1965-08-01,9.171767322094956
1965-09-01,7.606742358434749
1965-10-01,9.037468027870256
1965-11-01,9.449509526408379
1965-12-01,11.566336530190325
1966-01-01,10.794897431063548
1966-02-01,8.401707610110968
1966-03-01,4.823589000549938
1966-04-01,-1.788481801347729
1966-05-01,-1.5220410025581956
1966-06-01,2.667510169496092
1966-07-01,4.384167644957543
1966-08-01,4.583214318614312
1966-09-01,4.250751115943196
1966-10-01,2.817945210337413
1966-11-01,1.7573973232367555
1966-12-01,4.35490527346447
1967-01-01,6.108266918578789
1967-02-01,1.4161733751383967
1967-03-01,0.08478602475161123
1967-04-01,-0.8197670129337729
1967-05-01,-0.3955678512540688
1967-06-01,3.8850046098130115
1967-07-01,4.377284542160212
1967-08-01,6.2787192456102865
1967-09-01,0.7845241976838846
1967-10-01,-0.7146917721860704
1967-11-01,6.162190111015953
1967-12-01,9.041488876315197
1968-01-01,7.462019967327294
1968-02-01,8.960786678976334
1968-03-01,8.130179522126689
1968-04-01,5.461139687404451
1968-05-01,6.65610806161648
1968-06-01,4.776531876029885
1968-07-01,3.45879044561227
1968-08-01,0.23367233778277852
1968-09-01,0.712381240438491
1968-10-01,0.24445584564318912
1968-11-01,3.283061983380766
1968-12-01,5.178996606326505
1969-01-01,8.614017202958712
1969-02-01,6.77015229630034
1969-03-01,2.902475639864038
1969-04-01,-0.9537331304934047
1969-05-01,-0.8799605486174373
1969-06-01,2.9235917284038115
1969-07-01,4.350190521826331
1969-08-01,3.2320770214807357
1969-09-01,-0.7966965811664726
1969-10-01,-3.224628802291847
1969-11-01,-4.661415922532214
1969-12-01,-0.2093500402503956
1970-01-01,-0.7385671334870256
1970-02-01,1.5888125590743811
1970-03-01,-1.1979340587303349
1970-04-01,-1.4647860505218824
1970-05-01,2.267098402639649
1970-06-01,5.765026912353787
1970-07-01,7.461602489869479
1970-08-01,1.4417569666074126
1970-09-01,-6.032402195144414
1970-10-01,-11.42364627335806
1970-11-01,-3.9576331869253027
1970-12-01,14.022414417641665
1971-01-01,16.109983805191266
1971-02-01,10.60224967621005
1971-03-01,2.82136086422495
1971-04-01,-0.9014561032821704
1971-05-01,0.5422954154216768
1971-06-01,4.766600068051926
1971-07-01,3.813969104354254
1971-08-01,3.0324781856240732
1971-09-01,1.9409834858613486
1971-10-01,-1.8704092620842068
1971-11-01,0.9407122468262816
1971-12-01,5.276160910941874
1972-01-01,8.834143914022217
1972-02-01,8.329492920906135
1972-03-01,10.954161721797297
1972-04-01,10.466809214058273
1972-05-01,7.398359561775134
1972-06-01,4.398736711288498
1972-07-01,1.0458150487900035
1972-08-01,4.8428577506651145
1972-09-01,4.819793849488662
1972-10-01,6.437771103916402
1972-11-01,8.109766799318813
1972-12-01,9.738483594334847
1973-01-01,10.70940617114013
1973-02-01,10.561286566885856
1973-03-01,7.196835494493163
1973-04-01,4.026645826299743
1973-05-01,2.165643952150372
1973-06-01,-2.366673466054688
1973-07-01,-4.331844922980183
1973-08-01,-3.5318814616626466
1973-09-01,3.5922191603528364
1973-10-01,8.353157702822235
1973-11-01,4.879769650150083
1973-12-01,-4.45695950880201
1974-01-01,-6.751190458540055
1974-02-01,-4.031928954648546
1974-03-01,1.3158160805152606
1974-04-01,2.849740983770952
1974-05-01,2.753501818434891
1974-06-01,-4.11334912699378
1974-07-01,-6.382671470844869
1974-08-01,-4.885009202468057
1974-09-01,0.16241054748601247
1974-10-01,2.067120022572145
1974-11-01,-3.5941592717186137
